danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_id,track_name,artist_name,album_name
0.432,0.301,6,-10.541,1,0.0399,0.573,0,0.171,0.212,147.421,audio_features,7Bti1K9lP7pMCFhZeWqEUU,spotify:track:7Bti1K9lP7pMCFhZeWqEUU,https://api.spotify.com/v1/tracks/7Bti1K9lP7pMCFhZeWqEUU,https://api.spotify.com/v1/audio-analysis/7Bti1K9lP7pMCFhZeWqEUU,388981,4,7Bti1K9lP7pMCFhZeWqEUU,Epiphany,Cast Recording,Bare the Album - Act 1
0.719,0.847,0,-6.34,0,0.0916,0.00201,0.0204,0.221,0.444,127.963,audio_features,5WQQIDU3HRaMyPkob8mpFb,spotify:track:5WQQIDU3HRaMyPkob8mpFb,https://api.spotify.com/v1/tracks/5WQQIDU3HRaMyPkob8mpFb,https://api.spotify.com/v1/audio-analysis/5WQQIDU3HRaMyPkob8mpFb,242680,4,5WQQIDU3HRaMyPkob8mpFb,Where Have You Been,Rihanna,Talk That Talk
0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,audio_features,62bOmKYxYg7dhrC6gH9vFn,spotify:track:62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/tracks/62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/audio-analysis/62bOmKYxYg7dhrC6gH9vFn,200400,4,62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,*NSYNC,No Strings Attached
0.666,0.728,7,-5.808,1,0.0419,0.00175,4.26e-06,0.0429,0.51,122.996,audio_features,6XcfKZvJio9Z0fQy11GnNX,spotify:track:6XcfKZvJio9Z0fQy11GnNX,https://api.spotify.com/v1/tracks/6XcfKZvJio9Z0fQy11GnNX,https://api.spotify.com/v1/audio-analysis/6XcfKZvJio9Z0fQy11GnNX,204878,4,6XcfKZvJio9Z0fQy11GnNX,broken,lovelytheband,finding it hard to smile
0.515,0.726,1,-5.926,1,0.0547,0.00152,0.00015,0.087,0.35,170.987,audio_features,6qYkmqFsXbj8CQjAdbYz07,spotify:track:6qYkmqFsXbj8CQjAdbYz07,https://api.spotify.com/v1/tracks/6qYkmqFsXbj8CQjAdbYz07,https://api.spotify.com/v1/audio-analysis/6qYkmqFsXbj8CQjAdbYz07,200046,4,6qYkmqFsXbj8CQjAdbYz07,Blinding Lights,The Weeknd,Blinding Lights
0.73,0.729,4,-3.434,0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,audio_features,017PF4Q3l4DBUiWoXk4OWT,spotify:track:017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/tracks/017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/audio-analysis/017PF4Q3l4DBUiWoXk4OWT,221820,4,017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,Future Nostalgia
0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,audio_features,22L7bfCiAkJo5xGSQgmiIO,spotify:track:22L7bfCiAkJo5xGSQgmiIO,https://api.spotify.com/v1/tracks/22L7bfCiAkJo5xGSQgmiIO,https://api.spotify.com/v1/audio-analysis/22L7bfCiAkJo5xGSQgmiIO,299613,4,22L7bfCiAkJo5xGSQgmiIO,All Of The Lights,Kanye West,My Beautiful Dark Twisted Fantasy
0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,audio_features,47EiUVwUp4C9fGccaPuUCS,spotify:track:47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/tracks/47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/audio-analysis/47EiUVwUp4C9fGccaPuUCS,205090,4,47EiUVwUp4C9fGccaPuUCS,DÁKITI,Bad Bunny,DÁKITI
0.282,0.536,11,-6.64,1,0.0491,0.413,0,0.105,0.318,144.023,audio_features,1OXK32HZOXxwDdRzekiniw,spotify:track:1OXK32HZOXxwDdRzekiniw,https://api.spotify.com/v1/tracks/1OXK32HZOXxwDdRzekiniw,https://api.spotify.com/v1/audio-analysis/1OXK32HZOXxwDdRzekiniw,321533,4,1OXK32HZOXxwDdRzekiniw,Flying Home,Mykal Kilgore,Songs for a New World (New York City Center 2018 Encores! Off-Center Cast Recording)
0.56,0.507,4,-10.588,1,0.0606,0.505,0,0.102,0.332,99.651,audio_features,2R2Tmfn9QyPN7C0pNKBOb0,spotify:track:2R2Tmfn9QyPN7C0pNKBOb0,https://api.spotify.com/v1/tracks/2R2Tmfn9QyPN7C0pNKBOb0,https://api.spotify.com/v1/audio-analysis/2R2Tmfn9QyPN7C0pNKBOb0,215806,4,2R2Tmfn9QyPN7C0pNKBOb0,Are You There_,Cast Recording,Bare the Album - Act 1
