danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_id,track_name,artist_name,album_name
0.615,0.711,11,-5.507,1,0.0779,0.0444,0,0.145,0.711,144.036,audio_features,67T6l4q3zVjC5nZZPXByU8,spotify:track:67T6l4q3zVjC5nZZPXByU8,https://api.spotify.com/v1/tracks/67T6l4q3zVjC5nZZPXByU8,https://api.spotify.com/v1/audio-analysis/67T6l4q3zVjC5nZZPXByU8,221253,4,67T6l4q3zVjC5nZZPXByU8,Whatcha Say,Jason Derulo,Jason Derulo
0.442,0.83,9,-4.02,1,0.146,0.128,0,0.129,0.578,89.338,audio_features,6BaxqcoEM9r3LXisTyJjST,spotify:track:6BaxqcoEM9r3LXisTyJjST,https://api.spotify.com/v1/tracks/6BaxqcoEM9r3LXisTyJjST,https://api.spotify.com/v1/audio-analysis/6BaxqcoEM9r3LXisTyJjST,215747,4,6BaxqcoEM9r3LXisTyJjST,Ridin' Solo,Jason Derulo,Jason Derulo
0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,audio_features,1AWQoqb9bSvzTjaLralEkT,spotify:track:1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/audio-analysis/1AWQoqb9bSvzTjaLralEkT,267267,4,1AWQoqb9bSvzTjaLralEkT,Rock Your Body,Justin Timberlake,Justified
0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,audio_features,0CAfXk7DXMnon4gLudAp7J,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,231400,4,0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),Flo Rida,Mail on Sunday
0.83,0.746,5,-6.286,0,0.0579,0.00456,0,0.26,0.646,125.992,audio_features,6RpiAj9Ofv0Uqp6n2OuRoh,spotify:track:6RpiAj9Ofv0Uqp6n2OuRoh,https://api.spotify.com/v1/tracks/6RpiAj9Ofv0Uqp6n2OuRoh,https://api.spotify.com/v1/audio-analysis/6RpiAj9Ofv0Uqp6n2OuRoh,220507,4,6RpiAj9Ofv0Uqp6n2OuRoh,In the Ayer (feat. will.I.am),Flo Rida,Mail on Sunday
0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,audio_features,09IStsImFySgyp0pIQdqAc,spotify:track:09IStsImFySgyp0pIQdqAc,https://api.spotify.com/v1/tracks/09IStsImFySgyp0pIQdqAc,https://api.spotify.com/v1/audio-analysis/09IStsImFySgyp0pIQdqAc,184732,4,09IStsImFySgyp0pIQdqAc,The Middle,Zedd,The Middle
0.72,0.791,1,-4.689,1,0.124,0.0384,0,0.157,0.756,102.071,audio_features,6FE2iI43OZnszFLuLtvvmg,spotify:track:6FE2iI43OZnszFLuLtvvmg,https://api.spotify.com/v1/tracks/6FE2iI43OZnszFLuLtvvmg,https://api.spotify.com/v1/audio-analysis/6FE2iI43OZnszFLuLtvvmg,175427,4,6FE2iI43OZnszFLuLtvvmg,Classic,MKTO,MKTO
0.756,0.572,9,-7.019,1,0.0763,0.0478,0,0.0853,0.417,102.986,audio_features,10GJQkjRJcZhGTLagFOC62,spotify:track:10GJQkjRJcZhGTLagFOC62,https://api.spotify.com/v1/tracks/10GJQkjRJcZhGTLagFOC62,https://api.spotify.com/v1/audio-analysis/10GJQkjRJcZhGTLagFOC62,204400,4,10GJQkjRJcZhGTLagFOC62,Most Girls,Hailee Steinfeld,Most Girls
0.885,0.477,6,-9.196,0,0.0664,0.000131,0.000664,0.336,0.691,130.078,audio_features,4c0rkFPszqQTyC753tsCMU,spotify:track:4c0rkFPszqQTyC753tsCMU,https://api.spotify.com/v1/tracks/4c0rkFPszqQTyC753tsCMU,https://api.spotify.com/v1/audio-analysis/4c0rkFPszqQTyC753tsCMU,346840,4,4c0rkFPszqQTyC753tsCMU,My Boo - Hitman's Club Mix,Ghost Town DJs,My Boo (Hitman's Club Mix)
0.964,0.727,2,-4.441,1,0.121,0.204,0,0.0638,0.913,107.067,audio_features,3hpUL1gDZWiz8k4DtYhZsS,spotify:track:3hpUL1gDZWiz8k4DtYhZsS,https://api.spotify.com/v1/tracks/3hpUL1gDZWiz8k4DtYhZsS,https://api.spotify.com/v1/audio-analysis/3hpUL1gDZWiz8k4DtYhZsS,228333,4,3hpUL1gDZWiz8k4DtYhZsS,Hot In Herre,Nelly,Nellyville
0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,audio_features,3ZFTkvIE7kyPt6Nu3PEa7V,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,218093,4,3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)"
0.851,0.793,0,-6.745,1,0.0558,0.337,4.44e-06,0.0864,0.766,96.0,audio_features,1GWEFjOrbv9SbzXkt9E3Z3,spotify:track:1GWEFjOrbv9SbzXkt9E3Z3,https://api.spotify.com/v1/tracks/1GWEFjOrbv9SbzXkt9E3Z3,https://api.spotify.com/v1/audio-analysis/1GWEFjOrbv9SbzXkt9E3Z3,192933,4,1GWEFjOrbv9SbzXkt9E3Z3,Gasolina,Daddy Yankee,Puro Cachengue
0.729,0.735,1,-5.455,1,0.0919,0.0178,0.000193,0.089,0.544,121.986,audio_features,1DunhgeZSEgWiIYbHqXl0c,spotify:track:1DunhgeZSEgWiIYbHqXl0c,https://api.spotify.com/v1/tracks/1DunhgeZSEgWiIYbHqXl0c,https://api.spotify.com/v1/audio-analysis/1DunhgeZSEgWiIYbHqXl0c,255867,4,1DunhgeZSEgWiIYbHqXl0c,Latch,Disclosure,Settle (Deluxe)
0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,audio_features,2PpruBYCo4H7WOBJ7Q2EwM,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,https://api.spotify.com/v1/tracks/2PpruBYCo4H7WOBJ7Q2EwM,https://api.spotify.com/v1/audio-analysis/2PpruBYCo4H7WOBJ7Q2EwM,235213,4,2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,Outkast,Speakerboxxx/The Love Below
0.768,0.864,11,-6.145,1,0.0324,0.101,0,0.162,0.891,110.008,audio_features,1Je1IMUlBXcx1Fz0WE7oPT,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,https://api.spotify.com/v1/tracks/1Je1IMUlBXcx1Fz0WE7oPT,https://api.spotify.com/v1/audio-analysis/1Je1IMUlBXcx1Fz0WE7oPT,173027,4,1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,Spice Girls,Spice
0.571,0.867,1,-6.794,0,0.109,0.0107,0.000159,0.251,0.791,161.991,audio_features,3v47tb6hvbeb3dVOgYZUfP,spotify:track:3v47tb6hvbeb3dVOgYZUfP,https://api.spotify.com/v1/tracks/3v47tb6hvbeb3dVOgYZUfP,https://api.spotify.com/v1/audio-analysis/3v47tb6hvbeb3dVOgYZUfP,195893,4,3v47tb6hvbeb3dVOgYZUfP,Birth In Reverse,St. Vincent,St. Vincent (Deluxe Edition)
0.785,0.582,5,-4.877,0,0.237,0.191,0,0.2,0.861,71.774,audio_features,07Tx168RSsUS1HqkDIOZbH,spotify:track:07Tx168RSsUS1HqkDIOZbH,https://api.spotify.com/v1/tracks/07Tx168RSsUS1HqkDIOZbH,https://api.spotify.com/v1/audio-analysis/07Tx168RSsUS1HqkDIOZbH,231360,4,07Tx168RSsUS1HqkDIOZbH,Cupid Shuffle,Cupid,Time for a Change
0.951,0.6,0,-4.675,0,0.0685,0.106,0,0.0712,0.822,125.04,audio_features,0k2GOhqsrxDTAbFFSdNJjT,spotify:track:0k2GOhqsrxDTAbFFSdNJjT,https://api.spotify.com/v1/tracks/0k2GOhqsrxDTAbFFSdNJjT,https://api.spotify.com/v1/audio-analysis/0k2GOhqsrxDTAbFFSdNJjT,218573,4,0k2GOhqsrxDTAbFFSdNJjT,Temperature,Sean Paul,The Trinity
0.649,0.798,2,-4.346,1,0.178,0.226,0,0.0711,0.857,177.899,audio_features,1vnnXMrBeEWiRg3YCMCjQq,spotify:track:1vnnXMrBeEWiRg3YCMCjQq,https://api.spotify.com/v1/tracks/1vnnXMrBeEWiRg3YCMCjQq,https://api.spotify.com/v1/audio-analysis/1vnnXMrBeEWiRg3YCMCjQq,230413,4,1vnnXMrBeEWiRg3YCMCjQq,Despacito - Remix,Luis Fonsi,VIDA
