danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_id,track_name,artist_name,album_name
0.34,0.325,11,-15.831,0,0.0422,0.822,0.925,0.374,0.1,69.482,audio_features,1e9SamSU6DSVdO02kVVD3J,spotify:track:1e9SamSU6DSVdO02kVVD3J,https://api.spotify.com/v1/tracks/1e9SamSU6DSVdO02kVVD3J,https://api.spotify.com/v1/audio-analysis/1e9SamSU6DSVdO02kVVD3J,195429,4,1e9SamSU6DSVdO02kVVD3J,Yamiyo but is it okay if it's lofi?,Kijugo,Yamiyo but is it okay if it's lofi?
0.86,0.241,9,-16.005,0,0.0547,0.834,0.881,0.167,0.3,119.984,audio_features,3eW7QqA0dcEiVKlXSe6GyV,spotify:track:3eW7QqA0dcEiVKlXSe6GyV,https://api.spotify.com/v1/tracks/3eW7QqA0dcEiVKlXSe6GyV,https://api.spotify.com/v1/audio-analysis/3eW7QqA0dcEiVKlXSe6GyV,199500,4,3eW7QqA0dcEiVKlXSe6GyV,Uso but is it okay if it's lofi?,Kijugo,Uso but is it okay if it's lofi?
0.658,0.366,7,-11.759,1,0.0315,0.699,0.367,0.231,0.191,90.043,audio_features,17vpZmGzA4mO7iLLlGuJio,spotify:track:17vpZmGzA4mO7iLLlGuJio,https://api.spotify.com/v1/tracks/17vpZmGzA4mO7iLLlGuJio,https://api.spotify.com/v1/audio-analysis/17vpZmGzA4mO7iLLlGuJio,141333,4,17vpZmGzA4mO7iLLlGuJio,Demon Slayer Gurenge LOFI,Sunday Vibes,Demon Slayer Gurenge LOFI
0.587,0.489,9,-21.12,0,0.0425,0.672,0.959,0.41,0.212,77.997,audio_features,50qmrfxhSENeZtOHmDK1xu,spotify:track:50qmrfxhSENeZtOHmDK1xu,https://api.spotify.com/v1/tracks/50qmrfxhSENeZtOHmDK1xu,https://api.spotify.com/v1/audio-analysis/50qmrfxhSENeZtOHmDK1xu,154547,4,50qmrfxhSENeZtOHmDK1xu,youseebiggirl but it's lofi (attack on titan),kurochuu.,youseebiggirl but it's lofi (attack on titan)
0.573,0.313,4,-14.633,0,0.0484,0.613,0.833,0.18,0.728,143.998,audio_features,4LV68uqftMrCC6VPYB6fQ7,spotify:track:4LV68uqftMrCC6VPYB6fQ7,https://api.spotify.com/v1/tracks/4LV68uqftMrCC6VPYB6fQ7,https://api.spotify.com/v1/audio-analysis/4LV68uqftMrCC6VPYB6fQ7,188409,4,4LV68uqftMrCC6VPYB6fQ7,Survive and Get the Blade - Remix,Rifti Beats,Demon Slayer
0.69,0.103,5,-23.567,1,0.0463,0.282,0.811,0.106,0.584,80.038,audio_features,5mGRmise3vL0WmUZIZoKiF,spotify:track:5mGRmise3vL0WmUZIZoKiF,https://api.spotify.com/v1/tracks/5mGRmise3vL0WmUZIZoKiF,https://api.spotify.com/v1/audio-analysis/5mGRmise3vL0WmUZIZoKiF,106213,4,5mGRmise3vL0WmUZIZoKiF,"Kamado Tanjiro No Uta (From ""Demon Slayer: Kimetsu No Yaiba"") [Lofi Beat]",Celestial Alignment,lofi anime dreams
0.619,0.269,7,-13.359,0,0.0495,0.988,0.895,0.208,0.216,94.29,audio_features,5x1bLqleRS0OlvT8N2dCCc,spotify:track:5x1bLqleRS0OlvT8N2dCCc,https://api.spotify.com/v1/tracks/5x1bLqleRS0OlvT8N2dCCc,https://api.spotify.com/v1/audio-analysis/5x1bLqleRS0OlvT8N2dCCc,87484,4,5x1bLqleRS0OlvT8N2dCCc,幻昼 - 钢琴版,文武贝,幻昼 (钢琴版)
0.649,0.6,8,-15.289,1,0.06,0.91,0.955,0.37,0.135,76.994,audio_features,0LgpScInSEhaNJ1SvMQBtz,spotify:track:0LgpScInSEhaNJ1SvMQBtz,https://api.spotify.com/v1/tracks/0LgpScInSEhaNJ1SvMQBtz,https://api.spotify.com/v1/audio-analysis/0LgpScInSEhaNJ1SvMQBtz,202097,4,0LgpScInSEhaNJ1SvMQBtz,identity but it's lofi (the promised neverland),kurochuu.,identity but it's lofi (the promised neverland)
0.793,0.343,4,-15.251,0,0.0593,0.542,0.914,0.125,0.353,110.054,audio_features,5lWk8MnxRVyMKLJoeaHSJ4,spotify:track:5lWk8MnxRVyMKLJoeaHSJ4,https://api.spotify.com/v1/tracks/5lWk8MnxRVyMKLJoeaHSJ4,https://api.spotify.com/v1/audio-analysis/5lWk8MnxRVyMKLJoeaHSJ4,117818,4,5lWk8MnxRVyMKLJoeaHSJ4,Crying for Rain but is it okay if it's lofi?,Kijugo,Crying for Rain but is it okay if it's lofi?
0.705,0.51,11,-10.843,0,0.0478,0.629,0.942,0.943,0.373,140.018,audio_features,5lgk6BoLLRtuikGEDh895g,spotify:track:5lgk6BoLLRtuikGEDh895g,https://api.spotify.com/v1/tracks/5lgk6BoLLRtuikGEDh895g,https://api.spotify.com/v1/audio-analysis/5lgk6BoLLRtuikGEDh895g,157714,4,5lgk6BoLLRtuikGEDh895g,Spectrum but is it okay if it's lofi?,Kijugo,Spectrum but is it okay if it's lofi?
0.468,0.199,0,-14.025,0,0.0626,0.923,0.938,0.321,0.501,99.94,audio_features,221o9DvmsX6zOIG8BbP3nz,spotify:track:221o9DvmsX6zOIG8BbP3nz,https://api.spotify.com/v1/tracks/221o9DvmsX6zOIG8BbP3nz,https://api.spotify.com/v1/audio-analysis/221o9DvmsX6zOIG8BbP3nz,201000,4,221o9DvmsX6zOIG8BbP3nz,Cruel Angel's Thesis but is it okay if it's lofi?,Kijugo,Cruel Angel's Thesis but is it okay if it's lofi?
0.913,0.242,7,-14.035,0,0.0852,0.217,0.84,0.34,0.277,139.973,audio_features,4GqPscwRIJPx0996n6waZN,spotify:track:4GqPscwRIJPx0996n6waZN,https://api.spotify.com/v1/tracks/4GqPscwRIJPx0996n6waZN,https://api.spotify.com/v1/audio-analysis/4GqPscwRIJPx0996n6waZN,158357,4,4GqPscwRIJPx0996n6waZN,PVZ but is it okay if it's lofi?,Kijugo,PVZ but is it okay if it's lofi?
0.743,0.106,10,-18.264,1,0.0496,0.789,0.897,0.134,0.0528,109.983,audio_features,5dOeOUJemhbvoprbZgpYFl,spotify:track:5dOeOUJemhbvoprbZgpYFl,https://api.spotify.com/v1/tracks/5dOeOUJemhbvoprbZgpYFl,https://api.spotify.com/v1/audio-analysis/5dOeOUJemhbvoprbZgpYFl,312545,4,5dOeOUJemhbvoprbZgpYFl,Red Swan Lofi,Cadred,Attack on Titan Lofi
